項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
144,特願2017-179933,特開2018-142295,"2017/09/20
2018/09/13
-",機械学習に基づくアクセス制御のためのシステムおよび方法、プログラム,富士ゼロックス株式会社,"G06Q10/10 
G06N99/00,150 
G06Q10/06,332"
145,特願2017-037525,特開2018-142272,"2017/02/28
2018/09/13
-",コンテンツ評価予測システム及びコンテンツ評価予測方法,株式会社エヌ・ティ・ティ・データ 他,"G06Q10/04 
G06F17/30,170@D 
G06F17/30,220@Z 
他"
146,特願2017-037178,特開2018-142256,"2017/02/28
2018/09/13
-",在庫管理および予防保全を行う機能を有する在庫管理システム,ファナック株式会社,"G05B19/418@Z 
B65G1/137@A 
G06Q10/00,300"
147,特願2017-035283,特開2018-142131,"2017/02/27
2018/09/13
-",情報判定モデル学習装置、情報判定装置およびそれらのプログラム,日本放送協会,"G06F17/30,210@D 
G06F17/30,170@A 
G06F17/27,665"
148,特願2017-035367,特開2018-141854,"2017/02/27
2018/09/13
-",情報処理方法および情報処理装置,ヤマハ株式会社,"G10L25/57 
G06F17/30,220@Z 
G06F17/30,170@D 
他"
149,特願2017-036816,特開2018-140471,"2017/02/28
2018/09/13
-",制御装置及び機械学習装置,ファナック株式会社,"B23P19/06@N 
G05B19/4155@V 
B25J13/00@Z"
150,特願2018-016972,特開2018-140162,"2018/02/02
2018/09/13
-",作業適正度判定システム,パナソニックＩＰマネジメント株式会社,"A61B5/18 
A61B5/02,800@D 
A61B5/16 
他"
151,特願2017-036115,特開2018-139901,"2017/02/28
2018/09/13
-",造影ＣＴスキャン装置、造影ＣＴスキャン装置の作動方法、及び造影ＣＴスキャン像を得るための方法,バイエル薬品株式会社 他,"A61B6/03,330@C 
A61B6/03,375"
152,特願2018-053092,特許6389976,"2018/03/20
2018/09/12
2018/08/24",車両施設監視システム,安川情報システム株式会社 他,"G08G1/14@A 
G08B5/00@P 
G08G1/015@A 
他"
153,特願2017-033494,特開2018-139050,"2017/02/24
2018/09/06
-",指標提示システム及び指標提示方法,株式会社神戸製鋼所,"G05B23/02@V 
G01D21/00@Q"
154,特願2017-033896,特開2018-138327,"2017/02/24
2018/09/06
-",工具状態推定装置及び工作機械,ファナック株式会社,"B23Q17/09@Z 
B23Q17/09@A 
G06N3/08,140 
他"
155,特願2017-029641,特開2018-137857,"2017/02/21
2018/08/30
-",車両制御装置、車両制御方法、プログラム,三菱重工業株式会社 他,B60L15/40@E
156,特願2017-244567,特開2018-137210,"2017/12/21
2018/08/30
-",燃料電池システムにおける分散故障管理のためのシステムおよび方法,ゼネラル・エレクトリック・カンパニイ,"H01M8/04@Z 
H01M8/04992 
H01M8/0432 
他"
157,特願2017-032451,特開2018-136870,"2017/02/23
2018/08/30
-",判定装置及び判定方法,清水建設株式会社,"G06Q50/06 
G01R21/00@Q 
G06N99/00,150 
他"
158,特願2017-032227,特開2018-136845,"2017/02/23
2018/08/30
-",ログ収集システム、ログ収集方法、アクセス解析システム、アクセス解析方法、及びプログラム,株式会社ＷＡＣＵＬ,"G06Q30/02,300 
G06Q30/02,436"
159,特願2017-031210,特開2018-136781,"2017/02/22
2018/08/30
-",渋滞緩和支援装置、サーバ装置、渋滞緩和支援システム、渋滞緩和支援方法、およびプログラム,本田技研工業株式会社,"G08G1/00@A 
G01C21/34 
B60W40/04 
他"
160,特願2017-029690,特開2018-136656,"2017/02/21
2018/08/30
-",障害対応支援システム,株式会社野村総合研究所,"G06F11/07,193 
G06F11/07,140@A 
G06F17/30,170@A 
他"
161,特願2017-029248,特開2018-136632,"2017/02/20
2018/08/30
-",形状推定装置,オムロン株式会社,"G06T7/60,150@B 
G06N99/00,150 
G06T7/00,350@C"
162,特願2017-029170,特開2018-136625,"2017/02/20
2018/08/30
-",識別装置、識別方法及び識別プログラム,ＫＤＤＩ株式会社,"G06F21/31 
G06F17/30,210@D 
G06F21/32"
163,特願2017-032714,特開2018-135075,"2017/02/23
2018/08/30
-",画像表示システム、画像表示方法及びプログラム,パナソニックＩＰマネジメント株式会社,"B60K35/00 
B60R21/00,626@G 
B60W40/04 
他"
164,特願2017-032587,特開2018-135069,"2017/02/23
2018/08/30
-",情報処理システム、情報処理方法及びプログラム,パナソニックＩＰマネジメント株式会社,"B60W40/10 
B62D6/00 
B60W40/02 
他"
165,特願2017-032574,特開2018-135068,"2017/02/23
2018/08/30
-",情報処理システム、情報処理方法及びプログラム,パナソニックＩＰマネジメント株式会社,"B60W30/00 
B60W40/04 
B60W40/10 
他"
166,特願2017-032901,特開2018-134724,"2017/02/24
2018/08/30
-",動作推定装置及び動作補助装置,ボッシュ株式会社,"B25J13/00@Z 
B25J11/00@Z 
A61F2/72"
167,特願2017-032011,特開2018-134051,"2017/02/23
2018/08/30
-",情報処理装置、情報処理方法及び情報処理プログラム,大学共同利用機関法人情報・システム研究機構,"C12M1/34@D 
C12Q1/04 
C12Q1/68@Z"
168,特願2017-147970,特許6380628,"2017/07/31
2018/08/29
2018/08/10",電力変換装置、サーバ、及びデータ生成方法,株式会社安川電機,"G05B23/02,302@S 
H02P29/024 
H02M7/48@M"
169,特願2018-085360,特開2018-133106,"2018/04/26
2018/08/23
-",モバイルデバイスユーザの将来の状態を予測することに関する方法,フェイスブック，インク．,"G06Q10/04 
G06Q50/00,300"
170,特願2018-022903,特開2018-133084,"2018/02/13
2018/08/23
-",自動化プロセスの処理の分散を最適化するシステム,ブルー プリズム リミテッド,"G06F9/46,462@A 
G06F9/46,350 
G06F9/46,465@B 
他"
171,特願2017-027224,特開2018-132996,"2017/02/16
2018/08/23
-",推定装置、学習装置、推定方法、及び推定プログラム,パナソニックＩＰマネジメント株式会社,"G06T7/00,350@C 
B60R16/02,630@Z 
B60W40/08 
他"
172,特願2017-026397,特開2018-132962,"2017/02/15
2018/08/23
-",画像出力装置及び画像出力方法,オムロン株式会社,"G06T7/00,350@B 
G06T7/00@C"
173,特願2017-025065,特開2018-132884,"2017/02/14
2018/08/23
-",判定装置、判定方法および判定プログラム,富士通株式会社,"G05B19/418@Z 
B25J19/06 
G06N99/00,153"
174,特願2017-024927,特開2018-132870,"2017/02/14
2018/08/23
-",識別装置,オムロン株式会社,"G06N99/00,153 
G06N3/08"
175,特願2017-024137,特開2018-132821,"2017/02/13
2018/08/23
-",情報処理装置、情報処理システム、端末装置、プログラム及び情報処理方法,シャープ株式会社,"G06F17/30,170@B 
G06F17/30,350@C 
G06F17/30,380@E"
176,特願2017-023891,特開2018-132802,"2017/02/13
2018/08/23
-",学習装置、属性推定装置、学習方法、属性推定方法及びプログラム,東京電力ホールディングス株式会社,G06Q50/10
177,特願2017-028245,特開2018-132501,"2017/02/17
2018/08/23
-",電磁波検出装置、フローサイトメーター、電磁波検出方法及び電磁波検出プログラム,国立大学法人 東京大学 他,"G01N21/45@Z 
G01N15/14@D"
178,特願2017-023993,特開2018-132318,"2017/02/13
2018/08/23
-",バッテリ残量アラーム装置、数値制御装置および工作機械システム,ファナック株式会社,"G01R19/165@M 
G01R31/36@A 
G05B19/18@X 
他"
179,特願2017-027230,特開2018-131110,"2017/02/16
2018/08/23
-",推定装置、推定方法、及び推定プログラム,パナソニックＩＰマネジメント株式会社,"B60R16/02,630@Z 
G06T1/00,340@B 
G06F3/01,570"
180,特願2017-026152,特開2018-130798,"2017/02/15
2018/08/23
-",数値制御装置,ファナック株式会社,"B23Q15/12@Z 
B23Q17/00@A 
B23B1/00@N 
他"
181,特願2018-023026,特開2018-130541,"2018/02/13
2018/08/23
-",融合アプローチを用いた人の冠動脈疾患の検出のための方法およびシステム,タタ コンサルタンシー サービシズ リミテッド,"A61B5/02@B 
A61B10/00@K"
182,特願2017-025509,特開2018-130264,"2017/02/15
2018/08/23
-",動態解析システム,コニカミノルタ株式会社,"A61B6/00,330@A 
A61B5/08 
A61B6/00,370"
183,特願2017-024424,特開2018-130183,"2017/02/13
2018/08/23
-",遊技用代用貨幣トレイ、テーブルゲームの管理システム、遊技用代用貨幣トレイシステム、及び遊技用代用貨幣管理方法,エンゼルプレイングカード株式会社,"A63F13/80@F 
A63F11/00@Z 
A63F9/00,512@Z 
他"
184,特願2017-027099,特開2018-130082,"2017/02/16
2018/08/23
-",食品製品の提供方法及び商品の提供方法,株式会社すなおネット,A23L5/00@Z
185,特願2017-025009,特開2018-130046,"2017/02/14
2018/08/23
-",食品製品の提供方法,株式会社すなおネット,"A23L5/00@Z 
G06Q30/06,330 
G06Q50/04"
186,特願2017-023668,特開2018-129009,"2017/02/10
2018/08/16
-",画像合成装置、画像合成方法及びコンピュータプログラム,日本電信電話株式会社,"G06T13/40 
H04N5/265 
G06T7/00,350@B"
187,特願2017-023666,特開2018-129007,"2017/02/10
2018/08/16
-",学習データ生成装置、学習装置、推定装置、学習データ生成方法及びコンピュータプログラム,日本電信電話株式会社,"G06T7/00,350@B 
G06T19/00@A"
188,特願2017-022515,特開2018-128933,"2017/02/09
2018/08/16
-",診断支援装置、診断支援方法および診断支援プログラム,株式会社ジェイマックシステム,"G06Q50/24 
A61B5/00@G 
G16H10/00 
他"
189,特願2017-021821,特開2018-128883,"2017/02/09
2018/08/16
-",情報処理装置、方法およびプログラム,株式会社 ＶＡＳＩＬＹ 他,"G06Q30/06,322"
190,特願2017-022247,特開2018-128602,"2017/02/09
2018/08/16
-",暗号化データベース管理装置、暗号化データベース管理方法、暗号化データベース管理プログラムおよび暗号化データベース管理システム,日本電気株式会社,"G09C1/00,660@D 
G06F21/60,320 
G06F17/30,120@A 
他"
191,特願2017-021609,特開2018-128576,"2017/02/08
2018/08/16
-",用件判定装置、用件判定方法およびプログラム,日本電信電話株式会社,"G10L15/10,500@T 
G10L15/22,300@Z 
G10L15/06,400@Z 
他"
192,特願2017-021606,特開2018-128575,"2017/02/08
2018/08/16
-",話し終わり判定装置、話し終わり判定方法およびプログラム,日本電信電話株式会社,"G10L15/10,500@Z 
G10L15/22,300@Z 
G10L15/06,300@Z 
他"
193,特願2017-020337,特開2018-128529,"2017/02/07
2018/08/16
-",表示制御システム、表示制御方法、及び、プログラム,株式会社Ｌｙｒｉｃ Ａｒｔｓ,"G10K15/04,302@D 
G10K15/02"
194,特願2017-019468,特開2018-126802,"2017/02/06
2018/08/16
-",ワークの取り出し動作を改善するワーク取り出し装置およびワーク取り出し方法,ファナック株式会社,B25J13/08@A
195,特願2017-019314,特開2018-126799,"2017/02/06
2018/08/16
-",制御装置、ロボットおよびロボットシステム,セイコーエプソン株式会社,B25J13/08@A
196,特願2017-019313,特開2018-126798,"2017/02/06
2018/08/16
-",制御装置、ロボットおよびロボットシステム,セイコーエプソン株式会社,B25J13/08@Z
197,特願2017-019312,特開2018-126797,"2017/02/06
2018/08/16
-",制御装置、ロボットおよびロボットシステム,セイコーエプソン株式会社,B25J13/08@A
198,特願2017-019311,特開2018-126796,"2017/02/06
2018/08/16
-",制御装置、ロボットおよびロボットシステム,セイコーエプソン株式会社,B25J9/10@A
199,特願2018-059679,特開2018-125019,"2018/03/27
2018/08/09
-",画像処理装置及び画像処理方法,エルピクセル株式会社,"G06T7/00,350@B 
G06T7/00,250"
200,特願2017-207450,特開2018-124982,"2017/10/26
2018/08/09
-",制御装置および制御方法,パナソニック インテレクチュアル プロパティ コーポレーション オブ アメリカ,G05B13/02@L
201,特願2017-183113,特開2018-124972,"2017/09/25
2018/08/09
-",ワンショット学習を通じた群衆解析,ゼネラル・エレクトリック・カンパニイ,"G06T7/20,300@B 
G08B25/00,510@M 
G06T7/00,350@B"
202,特願2017-019074,特開2018-124939,"2017/02/03
2018/08/09
-",画像合成装置、画像合成方法、及び画像合成プログラム,日本電信電話株式会社,"G06T1/00,315 
G06T19/00@A"
203,特願2017-018649,特開2018-124913,"2017/02/03
2018/08/09
-",医療機器監視システム,学校法人 埼玉医科大学 他,"G06Q50/22 
G16H20/00"
204,特願2017-014335,特開2018-124639,"2017/01/30
2018/08/09
-",データ分析システム、データ分析方法およびプログラム,日本電気株式会社,"G06N5/04 
G06N99/00,153"
205,特願2017-014021,特開2018-124617,"2017/01/30
2018/08/09
-",教師データ収集装置、教師データ収集方法、及びプログラム,三菱重工業株式会社,"G06F17/30,210@D 
G06F17/30,350@C 
G06N99/00,153 
他"
206,特願2017-016581,特開2018-124425,"2017/02/01
2018/08/09
-",音声対話装置及び音声対話方法,トヨタ自動車株式会社 他,"G10L13/10,114 
G10L15/22,300@Z 
G10L15/10,500@Z 
他"
207,特願2017-015256,特開2018-123998,"2017/01/31
2018/08/09
-",空気調和システム,ダイキン工業株式会社,"F24F11/02,103@D 
F24F11/02,103@C 
F24F11/49 
他"
208,特願2017-016355,特開2018-121885,"2017/01/31
2018/08/09
-",画像処理装置、画像処理システム、および画像処理プログラム,株式会社ニデック,"A61B3/10@R 
A61B3/14@M 
G06T1/00,290@B 
他"
209,特願2017-016301,特開2018-121567,"2017/01/31
2018/08/09
-",機械学習装置、分類装置並びに方法及びプログラム,株式会社ＬＳＩメディエンス,"C12M1/34@D 
C12Q1/02 
G06N99/00,153 
他"
210,特願2017-012208,特開2018-120470,"2017/01/26
2018/08/02
-",通信システム、分散計算システム、ノード、情報共有方法及びプログラム,日本電気株式会社,"G06F15/173,660@B 
G06N99/00,150 
G06F9/46,465@C 
他"
211,特願2017-010723,特開2018-120373,"2017/01/24
2018/08/02
-",産業機器用の画像認識装置及び画像認識方法,株式会社安川電機,"G06T7/00,350@C"
212,特願2017-010598,特開2018-120357,"2017/01/24
2018/08/02
-",数値制御装置及び機械学習装置,ファナック株式会社,"G05B19/4155@V 
G05B19/416@E"
213,特願2017-010351,特開2018-120342,"2017/01/24
2018/08/02
-",生産計画立案装置、及び生産計画立案方法,株式会社日立製作所,"G06Q50/04 
G05B19/418@Z"
214,特願2017-013485,特開2018-119924,"2017/01/27
2018/08/02
-",診断装置,オークマ株式会社,"G01M99/00@Z 
G01H11/08"
215,特願2017-011017,特開2018-118343,"2017/01/25
2018/08/02
-",ハンドリングシステム及びコントローラ,株式会社安川電機,B25J13/08@A
216,特願2018-003066,特開2018-118040,"2018/01/12
2018/08/02
-",ゲームサービス提供方法、ゲームサービス提供装置、コンピュータプログラム及び記録媒体,ＬＩＮＥ株式会社,"A63F13/75 
A63F13/79 
A63F13/73 
他"
217,特願2017-200211,特開2018-117338,"2017/10/16
2018/07/26
-",ライブ・ビデオ・フィードにおける自動的なオブジェクトおよびアクティビティの追跡,ザ・ボーイング・カンパニー,"H04N7/18@D 
G06T7/00,350@C"
218,特願2017-238604,特開2018-116693,"2017/12/13
2018/07/26
-",動作に関する予測推論のモデルを求めるシステム及び方法、およびこれらのための非一時的コンピューター可読記憶媒体,三菱電機株式会社,"G06Q10/04 
G01M99/00@Z 
G06N99/00,153 
他"
219,特願2017-007757,特開2018-116566,"2017/01/19
2018/07/26
-",会計処理システム、会計処理方法及び会計処理プログラム,株式会社マネーフォワード,"G06Q40/00,420"
